Name,SKU,Price,Sale Price,Weight (Kg),Brand,Warrenty,Size,Material,Available Quantity,Product URL
"Álló ruhafogas fa 8 akasztóval, négyszögletes talppal, fehér",RCR010W02,"15,200 (Ft)","12,200 (Ft)",4,VASAGLE,1 év,30x30x175cm,"MDF, Gumi fa",1,https://www.deco24.hu/vasagle-allo-ruhafogas-fa-8-akasztoval-negyszogletes-talppal-feher
"Álló ruhafogas fa 8 akasztóval, fekete",RCR004B01,"12,800 (Ft)","10,200 (Ft)",2,VASAGLE,,47x47x175cm,Gumi fa,4,https://www.deco24.hu/vasagle-allo-ruhafogas-fa-8-akasztoval-fekete
"Hintaszék, nyírfából készült pihenő fotel, világosszürke",LYY42G,"59,300 (Ft)","47,400 (Ft)",10,SONGMICS,1 év,67x125x91cm,"Nyírfa, Acél, Polimer hab",3,https://www.deco24.hu/songmics-hintaszek-nyirfabol-keszult-piheno-fotel-vilagosszurke
"Könyvespolc, álló polc, rusztikus barna 66x30x186cm",LLS062B01V1,"32,200 (Ft)","25,800 (Ft)",17,VASAGLE,1 év,66x30x186cm,"Forgácslap, Acél",3,https://www.deco24.hu/vasagle-konyvespolc-allo-polc-rusztikus-barna-66x30x186cm
"Szövet fiókrendszerező fehérneműknek 8 darabos készlet, szürke",RUS08GY,"12,100 (Ft)","8,590 (Ft)",1,SONGMICS,1 év,32x32x10cm/32x16x10cm,Egyéb,33,https://www.deco24.hu/songmics-szovet-fiokrendszerezo-fehernemuknek-8-darabos-keszlet-szurke
"Bársony vállfa, csúszásmentes ruhaakasztó 50 db, fehér, rozé arany",CRF021W02,"13,100 (Ft)","9,890 (Ft)",4,SONGMICS,1 év,42.7x22x0.6cm,Akrilonitril-Butadién-Sztirol műanyag (ABS),11,https://www.deco24.hu/songmics-barsony-vallfa-csuszasmentes-ruhaakaszto-50-db-feher-roze-arany
"Polcos állvány, 120kg polconkénti teherbírással, fekete 200x100x50cm",GLR050B01,"27,200 (Ft)","20,400 (Ft)",16,SONGMICS,1 év,200x100x50cm,"Acélváz, MDF lemez",10,https://www.deco24.hu/songmics-polcos-allvany-120kg-polconkenti-teherbirassal-fekete-200x100x50cm
"Bambusz kosár szennyestartó 72L, fekete",LCB10B,"11,800 (Ft)","9,490 (Ft)",2,SONGMICS,1 év,40x30x60cm,"MDF (Közepes Sűrűségű Rostlemez), Bambusz, Acél, TC szövet",6,https://www.deco24.hu/songmics-bambusz-kosar-szennyestarto-72l-fekete
"Álló ékszeres szekrény, tükörrel, polcokkal, zárható, fehér 120x10x36cm",JBC93W,"38,500 (Ft)","30,800 (Ft)",9,SONGMICS,1 év,120x10x36.7cm,"MDF (Közepes Sűrűségű Rostlemez), Bársony szövet, Üveg, Vasalatok",1,https://www.deco24.hu/songmics-allo-ekszeres-szekreny-tukorrel-polcokkal-zarhato-feher-120x10x36cm
"Szemeteskuka 30L, fehér",LTB01W,"34,700 (Ft)","27,800 (Ft)",4,SONGMICS,1 év,34x25x61.5cm,"Polipropilén (PP), Akrilonitril-Butadién-Sztirol műanyag (ABS), Acél",3,https://www.deco24.hu/songmics-szemeteskuka-30l-feher
"Kerek étkezőasztal, rusztikus barna 80x80x75cm",KDT080B01,"42,500 (Ft)","34,000 (Ft)",10,VASAGLE,1 év,80x80x75cm,"Forgácslap, Acél",8,https://www.deco24.hu/vasagle-kerek-etkezoasztal-rusztikus-barna-80x80x75cm
"Hintaszék, nyírfából készült pihenő fotel, sötétszürke, natúr",LYY10G,"43,900 (Ft)","35,100 (Ft)",10,SONGMICS,1 év,67x125x91cm,"Polimer hab, Nyírfa, TC szövet",5,https://www.deco24.hu/songmics-hintaszek-nyirfabol-keszult-piheno-fotel-sotetszurke-natur
"Álló ruhafogas polcokkal akasztókkal, rusztikus barna",LCR80X,"35,300 (Ft)","28,200 (Ft)",11,VASAGLE,1 év,43x43x180cm,"Forgácslap, Acél",5,https://www.deco24.hu/vasagle-allo-ruhafogas-polcokkal-akasztokkal-rusztikus-barna
"Szennyestartó, kihúzható és levehető ruhatartó zsákkal 2x46L, fehér-szürke",BLH201W11,"21,600 (Ft)","17,300 (Ft)",6,VASAGLE,1 év,73x33x71cm,,7,https://www.deco24.hu/Szennyestarto-kihuzhato-es-leveheto-ruhatarto-zsak
"Szabadon álló 2 ajtós 1 fiókos szekrény, fehér 60x30x80cm",BBK140W01,"43,800 (Ft)","35,000 (Ft)",18,VASAGLE,,60x30x80cm,Forgácslap,7,https://www.deco24.hu/vasagle-szabadon-allo-2-ajtos-1-fiokos-szekreny-feher-60x30x80cm
"Konyhai állópolc tárolópolcokkal, akasztókkal, drótkosárral, rusztikus barna 90x40x132cm",KKS35X,"46,300 (Ft)","37,000 (Ft)",16,VASAGLE,1 év,90x40x132cm,"Forgácslap, Acél",9,https://www.deco24.hu/vasagle-konyhai-allopolc-tarolopolcokkal-akasztokkal-drotkosarral-rusztikus-barna-90x40x132cm
"Könyvespolc, térelválasztó polc, fehér 129x129x29cm",LBC10WTV1,"41,900 (Ft)","31,400 (Ft)",28,VASAGLE,1 év,129.5x129.5x29cm,Forgácslap,9,https://www.deco24.hu/vasagle-konyvespolc-terelvalaszto-polc-feher-129x129x29cm
"Lebegő fali polc, rusztikus barna 80x20x3cm",LWS28BX,"12,300 (Ft)","9,890 (Ft)",2,VASAGLE,1 év,80x20x3.8cm,"MDF (Közepes Sűrűségű Rostlemez), Acél",5,https://www.deco24.hu/vasagle-lebego-fali-polc-rusztikus-barna-80x20x3cm
"Ékszertartó doboz üvegablakkal 4 szintes, 3 fiókkal, fehér és arany",JBC161W01,"18,200 (Ft)","14,600 (Ft)",2,SONGMICS,1 év,25x16x21cm,,4,https://www.deco24.hu/Ekszertarto-doboz-uvegablakkal-4-szintes-3-fiokkal
"Konyhai polc, konyhasziget polcokkal, rusztikus barna 120x60x90cm",KKI01BX,"44,900 (Ft)","33,700 (Ft)",25,VASAGLE,1 év,120x60x90cm,"Forgácslap, Acél",10,https://www.deco24.hu/vasagle-konyhai-polc-konyhasziget-polcokkal-rusztikus-barna-120x60x90cm
"Könyvespolc, tárolópolc, fehér 190x70x24cm",LBC61WT,"33,700 (Ft)","27,000 (Ft)",22,VASAGLE,1 év,190.5x70x24cm,Forgácslap,7,https://www.deco24.hu/vasagle-konyvespolc-tarolopolc-feher-190x70x24cm
"Előszoba fogas polccal, akasztókkal, cipőtartóval és ülőkével, greige 183x72x33cm",HSR40MB,"26,100 (Ft)","20,900 (Ft)",10,VASAGLE,1 év,183x72x33.7cm,"Forgácslap, Acél",3,https://www.deco24.hu/vasagle-eloszoba-fogas-polccal-akasztokkal-cipotartoval-es-ulokevel-greige-183x72x33cm
"Konyhai rendszerező polc, 2 db-os egymásra rakható, fehér",KCS01WT,"6,790 (Ft)","5,490 (Ft)",1,SONGMICS,,32x23x15cm,,2,https://www.deco24.hu/Konyhai-rendszerezo-polc-2-db-os-egymasra-rakhato
"Szabadon álló ajtós, 3 fiókos szekrény, fehér 60x30x81cm",BBC49WT,"43,000 (Ft)","32,300 (Ft)",14,VASAGLE,1 év,60x30x81cm,MDF (Közepes Sűrűségű Rostlemez),15,https://www.deco24.hu/vasagle-szabadon-allo-ajtos-3-fiokos-szekreny-feher-60x30x81cm
"Lerakóasztal fém vázzal, rusztikus barna 55x35x66cm",LNT52BX,"15,700 (Ft)","11,000 (Ft)",5,VASAGLE,1 év,55x35x66cm,"Forgácslap, Acél",51,https://www.deco24.hu/vasagle-lerakoasztal-fem-vazzal-rusztikus-barna-55x35x66cm
"Könyvespolc, térelválasztó polc, rusztikus barna 129x129x29cm",LBC10BX,"40,200 (Ft)","30,200 (Ft)",28,VASAGLE,1 év,129.5x129.5x29cm,Forgácslap,9,https://www.deco24.hu/vasagle-konyvespolc-terelvalaszto-polc-rusztikus-barna-129x129x29cm
"Zárható postaláda újságtartóval, falra, kerítésre szerelhető, antricit szürke",GMB052G01,"17,700 (Ft)","12,400 (Ft)",4,SONGMICS,1 év,37x10.5x37cm,"Acél, ABS",31,https://www.deco24.hu/songmics-zarhato-postalada-ujsagtartoval-falra-keritesre-szerelheto-antricit-szurke
"Szabadon álló ajtós szekrény, fehér 60x30x80cm",BBC40WT,"36,300 (Ft)","27,200 (Ft)",13,VASAGLE,1 év,60x30x80cm,MDF (Közepes Sűrűségű Rostlemez),17,https://www.deco24.hu/vasagle-szabadon-allo-ajtos-szekreny-feher-60x30x80cm
"Ékszertartó doboz 2 fiókkal és tükörrel, fehér 17x13x12cm",JBC154W01,"12,700 (Ft)","9,590 (Ft)",1,SONGMICS,1 év,17.5x13.5x12cm,"MDF (Közepes Sűrűségű Rostlemez), PU-bevonatú szövet, Bársony szövet, Üveg",13,https://www.deco24.hu/songmics-ekszertarto-doboz-2-fiokkal-es-tukorrel-feher-17x13x12cm
"Szennyestartó, kihúzható és levehető ruhatartó zsákkal 2x46L, szürke",BLH201G01,"25,800 (Ft)","20,600 (Ft)",7,VASAGLE,1 év,73x33x72cm,"Forgácslap, Acél, Nem szőtt szövet",5,https://www.deco24.hu/vasagle-szennyestarto-kihuzhato-es-leveheto-ruhatarto-zsakkal-2x46l-szurke
"Előszoba fogas polccal, akasztókkal, cipőtartóval és ülőkével, tölgy 183x72x33cm",HSR40W,"26,100 (Ft)","20,900 (Ft)",10,VASAGLE,1 év,183x72x33.7cm,"Forgácslap, Acél",5,https://www.deco24.hu/vasagle-eloszoba-fogas-polccal-akasztokkal-cipotartoval-es-ulokevel-tolgy-183x72x33cm
"Műanyag konyhai fiókos rendszerező 4 fiókkal, fehér, barna 45x17x84cm",KFR08WT,"32,800 (Ft)","23,000 (Ft)",5,SONGMICS,1 év,45x17x84cm,"Polipropilén (PP), Műanyag",50,https://www.deco24.hu/songmics-muanyag-konyhai-fiokos-rendszerezo-4-fiokkal-feher-barna-45x17x84cm
"Bambusz kosár szennyestartó 2 rekeszes 2x36L, fehér",LCB64WT,"14,700 (Ft)","11,000 (Ft)",3,SONGMICS,1 év,51.5x31.5x61.5cm,"Bambusz, Vas, Lapos furnérlemez, TC szövet",10,https://www.deco24.hu/songmics-bambusz-kosar-szennyestarto-2-rekeszes-2x36l-feher
"Cipőtartó polc 3 szintes fém vázzal, fekete 92x30x55cm",LSA303B02,"8,390 (Ft)","6,390 (Ft)",1,SONGMICS,,92x30.5x55cm,"Acél, Műanyag",13,https://www.deco24.hu/songmics-cipotarto-polc-3-szintes-fem-vazzal-fekete-92x30x55cm
"Szabadon álló fiókos szekrény, fehér 30x30x89cm",BBC42WT,"30,900 (Ft)","23,200 (Ft)",10,VASAGLE,1 év,30x30x89cm,MDF (Közepes Sűrűségű Rostlemez),15,https://www.deco24.hu/vasagle-szabadon-allo-fiokos-szekreny-feher-30x30x89cm
"Polcos állvány, 175kg polconkénti teherbírással, fekete, barna 180x90x40cm",GLR040B01,"21,100 (Ft)","14,800 (Ft)",13,SONGMICS,1 év,180x90x40cm,"MDF (Közepes Sűrűségű Rostlemez), Acél",36,https://www.deco24.hu/songmics-polcos-allvany-175kg-polconkenti-teherbirassal-fekete-barna-180x90x40cm
"Konyhai állópolc konyhasziget tárolópolcokkal, akasztókkal, drótkosárral, rusztikus barna",KKS96X,"44,900 (Ft)","33,800 (Ft)",12,VASAGLE,1 év,80x35x95cm,"Forgácslap, Acél",16,https://www.deco24.hu/vasagle-konyhai-allopolc-konyhasziget-tarolopolcokkal-akasztokkal-drotkosarral-rusztikus-barna-80x35
"3 darabos fali polc szett, rusztikus barna 30/35/40cm",LWS33BX,"11,500 (Ft)","8,690 (Ft)",2,VASAGLE,1 év,30/35/40x12x10cm,"Forgácslap, Acél",8,https://www.deco24.hu/vasagle-3-darabos-fali-polc-szett-rusztikus-barna-30/35/40cm
"3 darabos lebegő polc szett magasfényű bevonattal, fehér 30/35/40cm",LWS40WT,"12,000 (Ft)","9,690 (Ft)",2,SONGMICS,1 év,40x10x9/35x10x8/30x10x7cm,MDF (Közepes Sűrűségű Rostlemez),7,https://www.deco24.hu/songmics-3-darabos-lebego-polc-szett-magasfenyu-bevonattal-feher-30/35/40cm
"2 darabos dohányzóasztal szett, fehér 50x50x40cm",LET040B59,"26,600 (Ft)","20,000 (Ft)",7,VASAGLE,1 év,50x50x40cm,,17,https://www.deco24.hu/2-darabos-dohanyzoasztal-szett-feher-50x50x40cm
"Könyvespolc, tárolópolc, fehér 129x30x30cm",LBC42WT,"22,600 (Ft)","17,000 (Ft)",12,VASAGLE,1 év,129.5x30x30cm,Forgácslap,17,https://www.deco24.hu/vasagle-konyvespolc-tarolopolc-feher-129x30x30cm
"Macska kaparófa, többszintes macskatorony, fehér 55x45x143cm",PCT161W01,"28,100 (Ft)","19,700 (Ft)",13,FEANDREA,1 év,55x45x143cm,"Forgácslap, Bársony szövet, Papír",50,https://www.deco24.hu/feandrea-macska-kaparofa-tobbszintes-macskatorony-feher-55x45x143cm
"Fa óratároló doboz 8 rekesszel, üvegfedéllel, barna 27x20x13cm",JOW008K01,"12,600 (Ft)","9,590 (Ft)",1,SONGMICS,1 év,27x20x13cm,"Paulownia, Bársony, Üveg",8,https://www.deco24.hu/songmics-fa-oratarolo-doboz-8-rekesszel-uvegfedellel-barna-27x20x13cm
"Könyvespolc, tárolópolc, rusztikus barna 190x70x24cm",LBC61BX,"32,900 (Ft)","24,600 (Ft)",22,VASAGLE,1 év,190.5x70x24cm,Forgácslap,8,https://www.deco24.hu/vasagle-konyvespolc-tarolopolc-rusztikus-barna-190x70x24cm
"Fali ruhafogas 2 darab, fekete 92x30x7cm",HSR67BK02,"14,800 (Ft)","10,400 (Ft)",3,SONGMICS,1 év,92x30x7cm,Acél,59,https://www.deco24.hu/songmics-fali-ruhafogas-2-darab-fekete-92x30x7cm
"Könyvespolc, állópolc, rusztikus barna 50x25x141cm",LBC11BX,"26,600 (Ft)","21,300 (Ft)",13,VASAGLE,1 év,50x25x141.5cm,Forgácslap,5,https://www.deco24.hu/vasagle-konyvespolc-allopolc-rusztikus-barna-50x25x141cm
"Fali polc akasztókkal, rusztikus barna 60x30x31cm",LCR11BX,"12,500 (Ft)","10,000 (Ft)",3,VASAGLE,1 év,60x30x31.7cm,"Forgácslap, Acél",4,https://www.deco24.hu/vasagle-fali-polc-akasztokkal-rusztikus-barna-60x30x31cm
"2 darabos dohányzóasztal szett, rusztikus barna 50x50x40cm",LET040B01V1,"28,800 (Ft)","23,000 (Ft)",7,VASAGLE,1 év,50x50x40cm,"Forgácslap, Acél",5,https://www.deco24.hu/vasagle-2-darabos-dohanyzoasztal-szett-rusztikus-barna-50x50x40cm
"Konyhai tálaló kocsi, gurulós tároló polc, rusztikus barna 60x40x78cm",LRC78X,"30,700 (Ft)","24,600 (Ft)",8,VASAGLE,1 év,60.6x40x78cm,"Forgácslap, Acél",7,https://www.deco24.hu/vasagle-konyhai-talalo-kocsi-gurulos-tarolo-polc-rusztikus-barna-60x40x78cm
"Szennyestartó, kihúzható és levehető ruhatartó zsákkal 3x38L, fehér",BLH301W01,"25,600 (Ft)","17,900 (Ft)",7,VASAGLE,,92.5×33×72cm,"Acél, MDF (Közepes Sűrűségű Rostlemez), Oxford szövet",50,https://www.deco24.hu/vasagle-szennyestarto-kihuzhato-es-leveheto-ruhatarto-zsakkal-3x38l-feher
"Lerakóasztal fém vázzal, rusztikus barna 50x35x60cm",LNT50X,"16,800 (Ft)","12,600 (Ft)",5,VASAGLE,1 év,50x35x60cm,"Forgácslap, Acél",17,https://www.deco24.hu/vasagle-lerakoasztal-fem-vazzal-rusztikus-barna-50x35x60cm
"Konyhai tálaló kocsi, gurulós tároló polc, rusztikus barna 60x39x84cm",KKS60XV2,"26,400 (Ft)","19,800 (Ft)",11,VASAGLE,1 év,60x39x84cm,"Forgácslap, Acél",11,https://www.deco24.hu/vasagle-konyhai-talalo-kocsi-gurulos-tarolo-polc-rusztikus-barna-60x39x84cm
"Cipőtároló doboz 10 db moduláris tárolódoboz, fehér 43x31x173cm",LPC10W,"18,000 (Ft)","12,600 (Ft)",7,SONGMICS,1 év,43x31x173cm,"Vas, Polipropilén (PP), Akrilonitril-Butadién-Sztirol műanyag (ABS)",26,https://www.deco24.hu/songmics-cipotarolo-doboz-10-db-modularis-tarolodoboz-feher-43x31x173cm
Fürdőkádra helyzhető bambusz tálca ital- és könyvtartóval 25x25x25cm,BCB88Y,"15,100 (Ft)","12,100 (Ft)",2,SONGMICS,1 év,25x25x25cm,Bambusz,9,https://www.deco24.hu/songmics-furdokadra-helyzheto-bambusz-talca-ital--es-konyvtartoval-25x25x25cm
"Bambusz konyhai rendszerező polcok, 2 db-os egymásra rakható, fekete lábakkal",KCS02NB,"7,690 (Ft)","5,490 (Ft)",1,SONGMICS,,30x20x15cm,"Acél, Bambusz",32,https://www.deco24.hu/Bambusz-konyhai-rendszerezo-polcok-2-db-os-egymasr
"Lebegő fali polc, rusztikus barna 60x20x3cm",LWS26BX,"9,990 (Ft)","8,090 (Ft)",2,VASAGLE,,60x20x3.8cm,"MDF (Közepes Sűrűségű Rostlemez), Acél",7,https://www.deco24.hu/vasagle-lebego-fali-polc-rusztikus-barna-60x20x3cm
"Álló ruhafogas polcokkal és akasztóval, rusztikus barna",RCR16BX,"16,300 (Ft)","12,200 (Ft)",3,VASAGLE,1 év,50x50x179cm,"Forgácslap, Acél",15,https://www.deco24.hu/vasagle-allo-ruhafogas-polcokkal-es-akasztoval-rusztikus-barna
"Bambusz polc fürdőszobai, konyhai tároló 5 szintes, natúr 130x26x60cm",BCB35Y,"22,300 (Ft)","17,800 (Ft)",6,SONGMICS,1 év,130x26x60cm,Bambusz,3,https://www.deco24.hu/songmics-bambusz-polc-furdoszobai-konyhai-tarolo-5-szintes-natur-130x26x60cm
"Bárszék 2 db magas konyhai étkező szék, kerek, rusztikus barna",LBC32X,"29,600 (Ft)","23,700 (Ft)",7,VASAGLE,1 év,30x30x65cm,"Forgácslap, Acél",7,https://www.deco24.hu/vasagle-barszek-2-db-magas-konyhai-etkezo-szek-kerek-rusztikus-barna
"Mosdó alatti fürdőszoba szekrény, fehér 60x30x60cm",BBC01WT,"27,700 (Ft)","20,800 (Ft)",8,VASAGLE,1 év,60x30x60cm,MDF (Közepes Sűrűségű Rostlemez),12,https://www.deco24.hu/vasagle-mosdo-alatti-furdoszoba-szekreny-feher-60x30x60cm
"Esernyőtartó négyzet alakú, akasztókkal, fekete 15x15x49cm",LUC16B,"12,300 (Ft)","9,290 (Ft)",2,SONGMICS,1 év,15.5x15.5x49cm,"Acél, Polipropilén (PP)",10,https://www.deco24.hu/songmics-esernyotarto-negyzet-alaku-akasztokkal-fekete-15x15x49cm
"Fiókos álló szekrény 4 fiókkal, fehér 30x30x82cm",LHC40W,"30,400 (Ft)","21,400 (Ft)",8,VASAGLE,1 év,30x30x82cm,MDF (Közepes Sűrűségű Rostlemez),50,https://www.deco24.hu/vasagle-fiokos-allo-szekreny-4-fiokkal-feher-30x30x82cm
"Mosdó alatti fürdőszoba szekrény, rusztikus barna 60x30x63cm",BBK04BXV1,"19,900 (Ft)","15,900 (Ft)",13,VASAGLE,1 év,60x30x63cm,Forgácslap,2,https://www.deco24.hu/vasagle-mosdo-alatti-furdoszoba-szekreny-rusztikus-barna-60x30x63cm
"Előszoba fogas polccal, akasztókkal, cipőtartóval és ülőkével, rusztikus barna 183x72x33cm",HSR40B,"29,200 (Ft)","20,400 (Ft)",10,VASAGLE,1 év,183x72x33.7cm,"Forgácslap, Acél",49,https://www.deco24.hu/vasagle-eloszoba-fogas-polccal-akasztokkal-cipotartoval-es-ulokevel-rusztikus-barna-183x72x33cm
"Cipőtartó polc 10 szintes fém vázzal, fekete 45x30x174cm",LSA25BK,"11,800 (Ft)","8,390 (Ft)",3,SONGMICS,1 év,45x30x174cm,"Vas, Műanyag",49,https://www.deco24.hu/songmics-cipotarto-polc-10-szintes-fem-vazzal-fekete-45x30x174cm
"Esernyőtartó négyzet alakú, akasztókkal, fehér 15x15x49cm",LUC49W,"13,500 (Ft)","9,590 (Ft)",2,SONGMICS,1 év,15.5x15.5x49cm,"Acél, Polipropilén (PP)",49,https://www.deco24.hu/songmics-esernyotarto-negyzet-alaku-akasztokkal-feher-15x15x49cm
"Zigzag sarokpolc 5 szintes fali polc, rusztikus barna 20x20x127cm",LBC72BX,"9,900 (Ft)","7,000 (Ft)",4,VASAGLE,1 év,20x20x127.5cm,Forgácslap,48,https://www.deco24.hu/vasagle-zigzag-sarokpolc-5-szintes-fali-polc-rusztikus-barna-20x20x127cm
"Szennyestartó, kihúzható és levehető ruhatartó zsákkal, fehér",BLH101W01,"17,200 (Ft)","12,100 (Ft)",5,VASAGLE,,50x33x76cm,"MDF (Közepes Sűrűségű Rostlemez), Acél, Oxford szövet",49,https://www.deco24.hu/vasagle-szennyestarto-kihuzhato-es-leveheto-ruhatarto-zsakkal-feher
"Bambusz cipőtároló polc 3 szintes, natúr 70x28x45cm",LBS04N,"15,000 (Ft)","10,500 (Ft)",4,SONGMICS,1 év,70x28.4x45cm,Bambusz,53,https://www.deco24.hu/Bambusz-cipotarolo-polc-3-szintes-natur-70x28x45cm
"Összecsukható vászon tárolópuff, sötétszürke 38x38x40cm",LSF14GYZ,"13,600 (Ft)","10,200 (Ft)",4,SONGMICS,1 év,38x38x40cm,MDF (Közepes Sűrűségű Rostlemez),14,https://www.deco24.hu/songmics-osszecsukhato-vaszon-tarolopuff-sotetszurke-38x38x40cm
"Éjjeliszekrény nyitott polccal, rusztikus barna 46x35x51cm",LET54X,"20,300 (Ft)","16,200 (Ft)",8,VASAGLE,1 év,46x35x51.5cm,"Forgácslap, Acél",4,https://www.deco24.hu/vasagle-ejjeliszekreny-nyitott-polccal-rusztikus-barna-46x35x51cm
"Szabadon álló szekrény 4 fiókkal 1 ajtóval, fehér 55x30x81cm",LHC41W,"43,100 (Ft)","30,200 (Ft)",13,VASAGLE,1 év,55x30x81cm,MDF (Közepes Sűrűségű Rostlemez),50,https://www.deco24.hu/vasagle-szabadon-allo-szekreny-4-fiokkal-1-ajtoval-feher-55x30x81cm
"Összecsukható vászon tárolópuff, felnyitható ottomán, sötétszürke 76x38x38cm",LSF46GYZ,"16,400 (Ft)","11,500 (Ft)",6,SONGMICS,1 év,76x38x38cm,"MDF (Közepes Sűrűségű Rostlemez), Lenette szövet, Polimer hab",50,https://www.deco24.hu/songmics-osszecsukhato-vaszon-tarolopuff-felnyithato-ottoman-sotetszurke-76x38x38cm
"Szövet ruhatároló szekrény hordozható gardrób, fekete 150x45x175cm",LSF03H,"21,800 (Ft)","15,300 (Ft)",5,SONGMICS,1 év,150x45x175cm,"Acél, Nem szőtt szövet, Műanyag",50,https://www.deco24.hu/songmics-szovet-ruhatarolo-szekreny-hordozhato-gardrob-fekete-150x45x175cm
"Cipőtároló doboz, egymásra rakható műanyag tároló 18db, átlátszó 33 x 23 x 14cm",LSP18SWT,"25,200 (Ft)","17,700 (Ft)",5,SONGMICS,,33.5 x 23.2 x 14.3cm,Polipropilén (PP),49,https://www.deco24.hu/songmics-cipotarolo-doboz-egymasra-rakhato-muanyag-tarolo-18db-atlatszo-33-x-23-x-14cm
