VIN,Mileage,Zip,Color,Leather,Sunroof,Navigation
KNDCE3LC6M5483847,21405,44134,Blue,1,1,1
3GNKBHR4XMS573730,30025,8701,Black,0,0,0
1C4RJFAG4EC569278,111410,12205,Red,0,1,1
JTHDP5BC3L5007919,31942,31210,Black,1,1,1
1FMJU2AT5JEA42239,145271,28752,Gray,1,1,1
1GCUYEED0NZ121553,84130,28607,Silver,1,0,0
3VWE57BU5KM154149,58942,10305,Gray,1,1,0
5NPEH4J26NH139839,3944,10305,Blue,1,1,1
WDDKJ5KB9CF166784,106492,33155,White,1,1,1
SALRT2RV0JA061197,87634,7604,Blue (dark),1,1,1
W1N4M4GB1NW186326,40848,33155,Gray,1,0,0
