ID,VIN,Mileage,Zip,Color,Leather,Sunroof,Navigation
10195183,5N1AL0MM5FC539192,94497,11209,White,1,1,0
10195166,4JGED7FB2KA150096,44102,24210,Gray,1,1,1
10195162,WA1EAAFY9P2047672,26449,44129,Gray,1,1,1
10195160,1C4RJFCG8LC210333,28686,44129,Black,1,1,1
10195172,NM0GE9E21M1491559,83826,78216,White,1,0,0
10196454,JF2SKAAC1KH533384,140601,7882,White,0,0,0
10195170,WD3PF4CC1D5756840,55643,32084,Silver,0,0,0
10195176,WP1BA2AY4PDA26690,17169,19382,White,1,1,1
10195177,NM0GE9E26M1491556,92371,78216,White,1,0,0
10195154,WA1D7AFP3GA134684,167414,28590,Gray,1,1,1
10196395,1C4RJHBG1PC546652,16895,8360,Red,1,0,1
10195132,1FTER4FH0NLD27441,14893,29651,Black,1,0,1
10195276,1FT8W3BA0PED43901,1133,44035,White,0,0,0
10195274,5N1AZ2MH5JN126182,43698,6484,Brown,1,1,1
10195269,1ZVBP8JZXD5225774,6877,44035,Red,1,0,0
10195266,3GNAXHEVXNS158002,11178,44035,Gray,0,0,0
10195594,4JGFD6BB5NA816215,25009,29842,Gray,1,1,1
10195586,WA1VAAF74KD028774,52533,61063,White,1,1,1
10195587,1GKS2JKL6RR198757,2810,14127,Black,1,1,1
10195575,4S4BTAFCXN3163277,31130,97225,White,0,1,1
10195574,JTDKN3DU0F1902546,125031,60445,White,0,0,0
10195569,1GYS4GKLXPR194730,13640,14127,White,1,1,0
10195572,JTHB51FF3J5004428,112173,61063,Silver,1,1,1
10195561,3HAEUMML2LL882653,284867,19720,White,0,0,0
10195558,1FM5K8HC2LGA15121,51572,33563,White,1,1,1
10195557,1FMEE5DH3MLA62268,51529,30080,Orange,1,1,1
10195551,LRBFZMR49MD086807,40723,14127,Black,0,0,0
10195547,W1Y40BHY4NT097650,93986,33563,White,1,0,0
10195545,W1Y40CHY4NT086721,90506,33563,White,1,0,0
10195538,3GCUKRECXFG130911,236550,32726,Red,0,0,0
10195536,2GNAXYEX8K6273354,156344,14131,Red,1,0,0
10195531,5XYRLDLC4MG017461,69895,19382,Gray,1,0,0
10195530,3LN6L2LU5ER803286,95956,33563,Red,1,0,0
10195518,SALGW2SE6KA529847,22839,60462,Silver,1,1,1
10195507,3GCPWBEK0MG413945,38360,19382,Blue (dark),0,0,0
10195512,3ALACWFC6JDJN1180,212190,19720,White,0,0,0
10195505,2C3CDZAG3PH645141,179,33411,Gray,0,0,0
10195481,1N4BL4CV7PN372260,13670,21704,White,1,1,1
10195498,JTHMPAAY1PA107441,6487,16148,White,1,0,1
10195477,5XYPGDA57LG681476,69043,19382,Black,0,0,0
10195471,4JGFF8GEXLA160633,71667,29607,Blue (dark),1,1,1
10195470,3GTU2PEJ8HG294468,155949,48357,Blue,1,1,1
10195468,3FMCR9D9XMRA62328,39016,60525,Black,0,0,0
10195467,1GNSKHKC5KR239557,93569,13601,Gray,1,0,1
10195464,2T2ZZMCA1HC050881,55219,32207,White,1,1,1
10195462,1FMJK2AT1LEA11434,81372,33411,Silver,1,1,1
10195458,1C4PJXDN3RW124753,12740,33411,Gray,0,0,0
10195457,5NPEG4JA6MH085404,30971,44026,White,0,0,0
10195456,3VV2B7AX4KM125771,63518,44240,Red,1,1,0
10195454,W1K6G7GBXNA086138,29472,29607,Silver,1,1,1
10195441,KL7CJPSM1MB361294,7696,33411,Silver,1,0,0
10195443,WA1JCCFSXJR013478,58214,19382,White,1,1,1
10195436,1C4HJXFN1LW263062,24824,33411,Gray,1,0,1
10195434,3VWCA7AU8FM518252,82154,32207,Gray,1,0,0
10195415,JTJBM7FX1E5089630,164141,32207,White,1,1,1
10195409,WBA7U2C09LGM26725,55847,8879,Gray,1,1,1
10195391,1C4RJFBG6KC823308,69297,19382,White,1,0,0
10195390,1C4RJFBM5FC882975,182294,28786,Silver,1,1,1
10195388,1FTBR1Y87LKB14472,37510,8691,White,0,0,0
10195372,LRBFX2SAXKD024291,134616,1581,Black,1,0,1
10195371,1FTBR1Y85PKB38971,3219,14903,White,0,0,0
10195363,JTMA1RFV9KD038105,51169,19382,Gray,1,1,0
10195370,5FNYF4H96FB029735,155520,17325,White,1,1,1
10195362,1FM5K8FW2MNA10978,48641,6484,Black,1,1,1
10195352,2C4RC1EG2HR758174,95652,19382,Silver,1,0,1
10195348,1FMEE5DP5MLA97823,30456,60525,Black,0,0,0
10195340,1FM5K8HCXNGB04941,50731,60525,Green,1,1,1
10195331,1C4SDJH94RC115184,11,44618,Gray,1,0,1
10195327,1GYAZAR48NF136414,18011,33055,White,1,1,0
10195304,7PDSGABA6PN005080,5216,63701,Gray,1,0,1
10196632,3PCAJ5BB2MF117745,38862,7013,White,1,1,0
10196610,1FTFW1RG3JFB98098,92030,15801,Maroon,1,1,1
10195292,3GCPCREC1EG536424,200580,21244,White,0,0,0
10196596,1FTEX1EP5JFB18380,124162,11901,White,0,0,0
10195287,WDDUG8JB1LA510874,38399,75043,Black,1,1,1
10195284,4S4BTGUD4N3157246,56414,44035,Gray,1,1,1
10195261,3C63R3PL8MG575928,48274,22182,Maroon,1,0,1
10195280,MAJ6S3GL2MC408256,19886,44035,Yellow,0,1,1
10195260,3KPFK4A7XHE140180,129090,6484,Blue,0,0,0
10195256,JN8AY2NC3K9589141,41054,60446,White,1,1,1
10195251,YV4BR0CM2M1731572,31184,22182,Gray,1,1,1
10195255,3C4NJDCN5RT588804,1067,22182,White,1,0,1
10196546,JN1EV7BR1MM751721,35296,7013,Black,1,1,0
10195248,3GNAXXEV9MS166052,26342,45458,White,1,0,0
10195241,2HKRM4H50DH607737,198174,46808,Black,0,,
10195246,1FTFW1E86PFA21326,51579,22602,Black,0,0,0
10196528,JM3KFBCL7H0169282,85213,2886,Red,1,1,1
10195239,KMUHB4SB2MU047495,63687,23113,Pearl,1,1,1
10195223,3GNAXUEV7LS656986,102031,8028,Red,0,0,0
10195216,JTHBK1GG4E2091246,113029,8028,Blue,1,1,0
10195233,3CZRU6H59KM724200,36540,11209,Black,0,1,0
10195228,5NMJCCAE8NH100054,19236,10305,Red,1,1,0
10196521,3KPF54AD7RE693013,200,2886,White,1,0,1
10195226,JTHD85EC6L5005784,10628,8028,Gray,1,1,0
10196503,1N4BL4DW5MN303604,34811,10309,Red,0,0,0
10195201,1G1YB2D40N5100799,2593,77802,Blue,1,0,0
10195211,WDDHF8HB5AA239700,155408,8028,Black,1,1,1
10195209,3GCUKSEC8EG249868,111462,27371,White,1,0,1
10195204,1G1YC2D41P5109656,10642,77802,Red,1,0,1
10195194,5UXKR6C50F0J76868,80822,16412,White,1,1,1
