Building Name,Unit size,Unit #,Beds,Bath,Sq. Ft.,Available Date,12 month Price,Best Value Price and term
Arrive Streeterville,10A Convertible,3810,0,1,647,08/17/2024,"$2,090.00",
Arrive Streeterville,10A Convertible,4210,0,1,647,10/12/2024,"$2,095.00",
Arrive Streeterville,10A Convertible,4310,0,1,647,Now,"$2,380.00",
Arrive Streeterville,03 One Bed,3903,1,1,781,09/29/2024,"$2,190.00",
Arrive Streeterville,03 One Bed,1107,1,1,810,09/05/2024,"$2,300.00",
Arrive Streeterville,03 One Bed,2103,1,1,781,09/20/2024,"$2,355.00",
Arrive Streeterville,03 One Bed,4003,1,1,781,09/14/2024,"$2,545.00",
Arrive Streeterville,04 Studio,3104,0,1,603,09/22/2024,"$2,230.00",
Arrive Streeterville,04 Studio,4504,0,1,603,08/24/2024,"$2,305.00",
Arrive Streeterville,09 Studio,1209,0,1,496,10/07/2024,"$1,940.00",
Arrive Streeterville,09 Studio,1509,0,1,496,10/10/2024,"$1,995.00",
Arrive Streeterville,09 Studio,3809,0,1,496,09/15/2024,"$2,025.00",
Arrive Streeterville,07 One Bed,2507,1,1,810,09/07/2024,"$2,445.00",
Arrive Streeterville,07 One Bed,2707,1,1,810,10/29/2024,"$2,490.00",
Arrive Streeterville,07 One Bed,3507,1,1,810,Now,"$2,585.00",
Arrive Streeterville,05 One Bed,605,1,1,739,08/23/2024,"$2,340.00",
Arrive Streeterville,05 One Bed,2705,1,1,739,10/19/2024,"$2,425.00",
Arrive Streeterville,05 One Bed,3905,1,1,739,Now,"$2,490.00",
Arrive Streeterville,05 One Bed,4405,1,1,739,Now,"$2,515.00",
Arrive Streeterville,05 One Bed,4505,1,1,739,Now,"$2,535.00",
Arrive Streeterville,08 Convertible,2308,0,1,620,10/11/2024,"$2,050.00",
Arrive Streeterville,08 Convertible,908,0,1,620,09/02/2024,"$2,290.00",
Arrive Streeterville,08 Convertible,4008,0,1,620,08/20/2024,"$2,300.00",
Arrive Streeterville,01 One Bed,3601,1,1,854,08/24/2024,Call for pricing,
Arrive Streeterville,01 One Bed,501,1,1,854,Now,"$2,420.00",
Arrive Streeterville,01 One Bed,1101,1,1,854,Now,"$2,425.00",
Arrive Streeterville,01 One Bed,2301,1,1,854,08/17/2024,"$2,490.00",
Arrive Streeterville,08 Convertible,4108,0,1,620,09/26/2024,"$2,360.00",
Arrive Streeterville,01 One Bed,2401,1,1,854,08/14/2024,"$2,495.00",
Arrive Streeterville,02 Two Bed,4402,2,2,1243,09/21/2024,"$3,980.00",
Arrive Streeterville,PH2-4412,4412,1,2,1208,Now,"$3,350.00",
Arrive Streeterville,10B Convertible,410,0,1,612,09/12/2024,"$1,965.00",
Arrive Streeterville,06 Convertible,2506,0,1,606,09/29/2024,"$1,995.00",
Arrive Streeterville,06 Convertible,2106,0,1,606,Now,"$2,255.00",
Arrive Streeterville,06 Convertible,3906,0,1,606,09/20/2024,"$2,290.00",
Arrive Streeterville,06 Convertible,3006,0,1,606,09/24/2024,"$2,305.00",
Arrive Streeterville,06 Convertible,3306,0,1,606,09/20/2024,"$2,310.00",
Arrive Streeterville,12a One Bed,812,1,1,854,09/01/2024,"$2,470.00",
Arrive Streeterville,12a One Bed,2512,1,1,854,08/20/2024,"$2,545.00",
Arrive Streeterville,11A One Bed,1411,1,1,911,08/24/2024,"$2,585.00",
Arrive Streeterville,11B Studio,2011,0,1,546,10/06/2024,"$2,045.00",
Arrive Streeterville,11B Studio,3711,0,1,546,08/24/2024,"$2,120.00",
