Building Name,Unit size,Unit #,Beds,Bath,Sq. Ft.,Available Date,12 month Price,Best Value Price and term,Detail URL
Onni Fulton Market,Plan A,2210,1,1,610,8/14/2024,"$3,028.00","Rent $3,028.00 @ 12 months",https://onnifultonmarket.securecafe.com/onlineleasing/rcLoadContent.ashx?contentclass=oleapplication&stepname=RentalOptions&myOlePropertyId=1533536&UnitID=38113788&FloorPlanID=4652996&MoveInDate=8/14/2024&sLeaseTerm=12&sGuestRISelectionItems=&PricingCallBack=38113788
Onni Fulton Market,Plan A,2010,1,1,610,9/15/2024,"$2,968.00","Rent $2,968.00 @ 12 months",https://onnifultonmarket.securecafe.com/onlineleasing/rcLoadContent.ashx?contentclass=oleapplication&stepname=RentalOptions&myOlePropertyId=1533536&UnitID=38113760&FloorPlanID=4652996&MoveInDate=9/15/2024&sLeaseTerm=12&sGuestRISelectionItems=&PricingCallBack=38113760
Onni Fulton Market,Plan S,1306,,1,447,10/07/2024,"$2,063.00","Rent $2,063.00 @ 12 months",https://onnifultonmarket.securecafe.com/onlineleasing/rcLoadContent.ashx?contentclass=oleapplication&stepname=RentalOptions&myOlePropertyId=1533536&UnitID=38113658&FloorPlanID=4653017&MoveInDate=10/7/2024&sLeaseTerm=12&sGuestRISelectionItems=&PricingCallBack=38113658
Onni Fulton Market,Plan S4,2007,,1,461,9/24/2024,"$2,158.00","Rent $2,158.00 @ 12 months",https://onnifultonmarket.securecafe.com/onlineleasing/rcLoadContent.ashx?contentclass=oleapplication&stepname=RentalOptions&myOlePropertyId=1533536&UnitID=38113757&FloorPlanID=4725725&MoveInDate=9/24/2024&sLeaseTerm=12&sGuestRISelectionItems=&PricingCallBack=38113757
Onni Fulton Market,Plan S3,1113,,1,379,9/13/2024,"$1,929.00","Rent $1,929.00 @ 12 months",https://onnifultonmarket.securecafe.com/onlineleasing/rcLoadContent.ashx?contentclass=oleapplication&stepname=RentalOptions&myOlePropertyId=1533536&UnitID=38113637&FloorPlanID=4653022&MoveInDate=9/13/2024&sLeaseTerm=12&sGuestRISelectionItems=&PricingCallBack=38113637
Onni Fulton Market,Plan S3,1913,,1,379,8/14/2024,"$2,499.00","Rent $2,064.00 @ 13 months",https://onnifultonmarket.securecafe.com/onlineleasing/rcLoadContent.ashx?contentclass=oleapplication&stepname=RentalOptions&myOlePropertyId=1533536&UnitID=38113749&FloorPlanID=4653022&MoveInDate=8/14/2024&sLeaseTerm=12&sGuestRISelectionItems=&PricingCallBack=38113749
Onni Fulton Market,Plan S3,1713,,1,379,8/14/2024,"$2,445.00","Rent $2,019.00 @ 13 months",https://onnifultonmarket.securecafe.com/onlineleasing/rcLoadContent.ashx?contentclass=oleapplication&stepname=RentalOptions&myOlePropertyId=1533536&UnitID=38113721&FloorPlanID=4653022&MoveInDate=8/14/2024&sLeaseTerm=12&sGuestRISelectionItems=&PricingCallBack=38113721
Onni Fulton Market,Plan S3,1313,,1,379,10/05/2024,"$1,949.00","Rent $1,949.00 @ 12 months",https://onnifultonmarket.securecafe.com/onlineleasing/rcLoadContent.ashx?contentclass=oleapplication&stepname=RentalOptions&myOlePropertyId=1533536&UnitID=38113665&FloorPlanID=4653022&MoveInDate=10/5/2024&sLeaseTerm=12&sGuestRISelectionItems=&PricingCallBack=38113665
Onni Fulton Market,Plan A,1210,1,1,610,09/07/2024,"$2,868.00","Rent $2,868.00 @ 12 months",https://onnifultonmarket.securecafe.com/onlineleasing/rcLoadContent.ashx?contentclass=oleapplication&stepname=RentalOptions&myOlePropertyId=1533536&UnitID=38113648&FloorPlanID=4652996&MoveInDate=9/7/2024&sLeaseTerm=12&sGuestRISelectionItems=&PricingCallBack=38113648
Onni Fulton Market,Plan A,1910,1,1,610,9/14/2024,"$2,958.00","Rent $2,958.00 @ 12 months",https://onnifultonmarket.securecafe.com/onlineleasing/rcLoadContent.ashx?contentclass=oleapplication&stepname=RentalOptions&myOlePropertyId=1533536&UnitID=38113746&FloorPlanID=4652996&MoveInDate=9/14/2024&sLeaseTerm=12&sGuestRISelectionItems=&PricingCallBack=38113746
Onni Fulton Market,Plan A,2310,1,1,610,09/05/2024,"$3,008.00","Rent $3,008.00 @ 12 months",https://onnifultonmarket.securecafe.com/onlineleasing/rcLoadContent.ashx?contentclass=oleapplication&stepname=RentalOptions&myOlePropertyId=1533536&UnitID=38113802&FloorPlanID=4652996&MoveInDate=9/5/2024&sLeaseTerm=12&sGuestRISelectionItems=&PricingCallBack=38113802
Onni Fulton Market,Plan A,1810,1,1,610,8/16/2024,"$2,938.00","Rent $2,938.00 @ 12 months",https://onnifultonmarket.securecafe.com/onlineleasing/rcLoadContent.ashx?contentclass=oleapplication&stepname=RentalOptions&myOlePropertyId=1533536&UnitID=38113732&FloorPlanID=4652996&MoveInDate=8/16/2024&sLeaseTerm=12&sGuestRISelectionItems=&PricingCallBack=38113732
